#Wavelength,Intensity
#nm,
341.69,1518.82656666667
341.91,1518.82656666667
342.13,1583.52171666666
342.35,1735.02543809524
342.56,1748.84885555556
342.78,1753.0736060606
343,1803.11558636364
343.22,1789.41297878788
343.44,1789.16943939394
343.66,1795.20367575757
343.88,1817.49690454546
344.1,1713.22197272727
344.32,1800.18580909091
344.54,1795.34458636364
344.76,1869.37848787879
344.98,1878.05879264069
345.19,1810.47564444445
345.41,1831.07004242424
345.63,1841.00484242424
345.85,1915.5797939394
346.07,1889.88461666667
346.29,1869.0346439394
346.51,1931.37186818182
346.73,1953.62340454546
346.95,1889.92177727273
347.17,1820.03771904762
347.38,1849.91899444444
347.6,1854.44741212121
347.82,1864.15787878788
348.04,1889.15876666667
348.26,1865.17500909091
348.48,1882.83981060606
348.7,1843.44012272727
348.92,1871.82533787879
349.14,1878.76064632035
349.35,1819.8575
349.57,1844.01704545454
349.79,1888.22992575758
350.01,1899.93482878788
350.23,1874.33633484849
350.45,1847.32326363637
350.67,1859.1521530303
350.89,1835.50262337663
351.1,1855.62632777778
351.32,1906.1184939394
351.54,1897.53186969697
351.76,1853.62690909091
351.98,1871.84775909091
352.2,1830.51997424242
352.42,1876.80231601732
352.63,1921.30506666666
352.85,1965.6799030303
353.07,1862.13251666667
353.29,1850.57521212121
353.51,1923.64104393939
353.73,1925.54959848485
353.95,1907.81486666667
354.16,1922.00383888889
354.38,1953.14516060606
354.6,1929.81665454545
354.82,1882.68577727273
355.04,1862.28213333333
355.26,1846.66963549784
355.47,1891.13019444444
355.69,1929.30241212121
355.91,1900.56817272727
356.13,1896.79058636364
356.35,1879.81328787879
356.57,1945.74299848485
356.79,1885.81972207792
357,1870.75145555555
357.22,1801.89517272727
357.44,1867.89231515152
357.66,1894.46926212121
357.88,1919.85286493507
358.09,1890.38535555556
358.31,1823.02596060606
358.53,1883.28228484848
358.75,1890.42466818182
358.97,1862.55793787879
359.19,1889.32975367966
359.4,1882.69963888889
359.62,1929.87863484849
359.84,1902.35523030303
360.06,1919.37963939394
360.28,1910.14946969697
360.49,1847.93353333333
360.71,1860.19326060606
360.93,1862.94865909091
361.15,1927.27553333333
361.37,1973.14157272727
361.58,1940.90933333333
361.8,1900.6990060606
362.02,1848.22125151515
362.24,1850.90230454545
362.46,1819.47422857142
362.67,1856.38410555556
362.89,1932.40393333334
363.11,1851.23716363636
363.33,1875.09713030303
363.55,1819.5720038961
363.76,1829.76967777777
363.98,1885.61851363636
364.2,1848.83148636364
364.42,1904.1399969697
364.64,1914.54382813853
364.85,1876.26566111111
365.07,1944.72035606061
365.29,1924.26085909091
365.51,1882.05702987013
365.72,1884.57781111111
365.94,1897.2965469697
366.16,1924.58187575758
366.38,1932.67775606061
366.6,1872.21615887446
366.81,1807.92451111111
367.03,1815.61382424242
367.25,1794.35481666666
367.47,1805.2117021645
367.68,1813.2707
367.9,1869.7933530303
368.12,1882.75656363636
368.34,1892.35456406927
368.55,1839.34881666666
368.77,1845.71406363636
368.99,1826.10574696969
369.21,1836.45494242424
369.42,1861.6457
369.64,1859.4586530303
369.86,1889.52043030303
370.08,1874.99591731601
