# ASTM G173-03 Reference Spectra Derived from SMARTS v. 2.9.2
# Wvlgth nm	Direct+circumsolar W*m-2*nm-1
280.0	2.5361E-26
280.5	1.0917E-24
281.0	6.1253E-24
281.5	2.7479E-22
282.0	2.8346E-21
282.5	1.3271E-20
283.0	6.7646E-20
283.5	1.4614E-19
284.0	4.9838E-18
284.5	2.1624E-17
285.0	8.9998E-17
285.5	6.4424E-16
286.0	2.3503E-15
286.5	1.8458E-14
287.0	7.2547E-14
287.5	3.6618E-13
288.0	2.8061E-12
288.5	9.0651E-12
289.0	3.4978E-11
289.5	1.5368E-10
290.0	5.1454E-10
290.5	1.3303E-09
291.0	3.8965E-09
291.5	1.4425E-08
292.0	4.0789E-08
292.5	7.0414E-08
293.0	1.5760E-07
293.5	4.7095E-07
294.0	9.4558E-07
294.5	1.5965E-06
295.0	3.2246E-06
295.5	8.0206E-06
296.0	1.4737E-05
296.5	2.3312E-05
297.0	3.3187E-05
297.5	6.7912E-05
298.0	1.1127E-04
298.5	1.4270E-04
299.0	2.0323E-04
299.5	3.7386E-04
300.0	4.5631E-04
300.5	5.7207E-04
301.0	9.1926E-04
301.5	1.3201E-03
302.0	1.4570E-03
302.5	2.1910E-03
303.0	3.7332E-03
303.5	4.8044E-03
304.0	5.0973E-03
304.5	6.4675E-03
305.0	8.9336E-03
305.5	1.0186E-02
306.0	1.0150E-02
306.5	1.1568E-02
307.0	1.5246E-02
307.5	1.9468E-02
308.0	2.0753E-02
308.5	2.2750E-02
309.0	2.2298E-02
309.5	2.3672E-02
310.0	2.7826E-02
310.5	3.5879E-02
311.0	4.5392E-02
311.5	4.6156E-02
312.0	5.0898E-02
312.5	5.3766E-02
313.0	5.8323E-02
313.5	5.8999E-02
314.0	6.5266E-02
314.5	7.0476E-02
315.0	7.3686E-02
315.5	6.4833E-02
316.0	6.7088E-02
316.5	8.1118E-02
317.0	9.3020E-02
317.5	9.9712E-02
318.0	9.5815E-02
318.5	1.0005E-01
319.0	1.0971E-01
319.5	1.0693E-01
320.0	1.1277E-01
320.5	1.3305E-01
321.0	1.3414E-01
321.5	1.2817E-01
322.0	1.2200E-01
322.5	1.1970E-01
323.0	1.1623E-01
323.5	1.3393E-01
324.0	1.4852E-01
324.5	1.5467E-01
325.0	1.5504E-01
325.5	1.7936E-01
326.0	2.0868E-01
326.5	2.2162E-01
327.0	2.1834E-01
327.5	2.1285E-01
328.0	1.9773E-01
328.5	2.0675E-01
329.0	2.3297E-01
329.5	2.5864E-01
330.0	2.6192E-01
330.5	2.4103E-01
331.0	2.2835E-01
331.5	2.3635E-01
332.0	2.4508E-01
332.5	2.4655E-01
333.0	2.4263E-01
333.5	2.3265E-01
334.0	2.3823E-01
334.5	2.5434E-01
335.0	2.6477E-01
335.5	2.5894E-01
336.0	2.3813E-01
336.5	2.2099E-01
337.0	2.1767E-01
337.5	2.3434E-01
338.0	2.5321E-01
338.5	2.6549E-01
339.0	2.7096E-01
339.5	2.7847E-01
340.0	2.9659E-01
340.5	2.9674E-01
341.0	2.7932E-01
341.5	2.7853E-01
342.0	2.9121E-01
342.5	3.0296E-01
343.0	3.0857E-01
343.5	2.9246E-01
344.0	2.5352E-01
344.5	2.4439E-01
345.0	2.7854E-01
345.5	2.9761E-01
346.0	2.9132E-01
346.5	2.9747E-01
347.0	3.0318E-01
347.5	2.9351E-01
348.0	2.9306E-01
348.5	2.9884E-01
349.0	2.8864E-01
349.5	2.9720E-01
350.0	3.2913E-01
350.5	3.5471E-01
351.0	3.4603E-01
351.5	3.3388E-01
352.0	3.2674E-01
352.5	3.0954E-01
353.0	3.2975E-01
353.5	3.6351E-01
354.0	3.8523E-01
354.5	3.9043E-01
355.0	3.9140E-01
355.5	3.7878E-01
356.0	3.5627E-01
356.5	3.3495E-01
357.0	2.9527E-01
357.5	2.9950E-01
358.0	2.7936E-01
358.5	2.5998E-01
359.0	3.0650E-01
359.5	3.7013E-01
360.0	3.9240E-01
360.5	3.7167E-01
361.0	3.4278E-01
361.5	3.3647E-01
362.0	3.5350E-01
362.5	3.8804E-01
363.0	4.0005E-01
363.5	3.8994E-01
364.0	4.0472E-01
364.5	4.0179E-01
365.0	4.1810E-01
365.5	4.6110E-01
366.0	4.9508E-01
366.5	4.9694E-01
367.0	4.8869E-01
367.5	4.8041E-01
368.0	4.5319E-01
368.5	4.5106E-01
369.0	4.7244E-01
369.5	5.0856E-01
370.0	5.1666E-01
370.5	4.6798E-01
371.0	4.7628E-01
371.5	4.9587E-01
372.0	4.6506E-01
372.5	4.4389E-01
373.0	4.2833E-01
373.5	3.8682E-01
374.0	3.8651E-01
374.5	3.8435E-01
375.0	4.1087E-01
375.5	4.5514E-01
376.0	4.7218E-01
376.5	4.6538E-01
377.0	5.0014E-01
377.5	5.5890E-01
378.0	6.0314E-01
378.5	5.8892E-01
379.0	5.2616E-01
379.5	4.7255E-01
380.0	4.9751E-01
380.5	5.3396E-01
381.0	5.4424E-01
381.5	4.9135E-01
382.0	4.1958E-01
382.5	3.6361E-01
383.0	3.2648E-01
383.5	3.1658E-01
384.0	3.6689E-01
384.5	4.4239E-01
385.0	4.8638E-01
385.5	4.6549E-01
386.0	4.4984E-01
386.5	4.6848E-01
387.0	4.7343E-01
387.5	4.6731E-01
388.0	4.6350E-01
388.5	4.6096E-01
389.0	5.0121E-01
389.5	5.5637E-01
390.0	5.8457E-01
390.5	5.9038E-01
391.0	6.2634E-01
391.5	6.3617E-01
392.0	5.8656E-01
392.5	4.8961E-01
393.0	3.5502E-01
393.5	2.8272E-01
394.0	3.6780E-01
394.5	5.0811E-01
395.0	6.0096E-01
395.5	6.4101E-01
396.0	5.6443E-01
396.5	4.1101E-01
397.0	3.1882E-01
397.5	4.7151E-01
398.0	6.3944E-01
398.5	7.5622E-01
399.0	8.0408E-01
399.5	8.2980E-01
400.0	8.3989E-01
401.0	8.7691E-01
402.0	9.1387E-01
403.0	8.8211E-01
404.0	8.9849E-01
405.0	8.7849E-01
406.0	8.5878E-01
407.0	8.4545E-01
408.0	8.8488E-01
409.0	9.4717E-01
410.0	8.0910E-01
411.0	9.0770E-01
412.0	9.6686E-01
413.0	9.2951E-01
414.0	9.2134E-01
415.0	9.5569E-01
416.0	9.8628E-01
417.0	9.6392E-01
418.0	9.2392E-01
419.0	9.6354E-01
420.0	8.8467E-01
421.0	1.0067E+00
422.0	9.9499E-01
423.0	9.6531E-01
424.0	9.6182E-01
425.0	9.9312E-01
426.0	9.6667E-01
427.0	9.3550E-01
428.0	9.4625E-01
429.0	8.7766E-01
430.0	7.0134E-01
431.0	6.3779E-01
432.0	1.0628E+00
433.0	9.9050E-01
434.0	9.1653E-01
435.0	1.0070E+00
436.0	1.1061E+00
437.0	1.1306E+00
438.0	9.9368E-01
439.0	9.5753E-01
440.0	1.0993E+00
441.0	1.0859E+00
442.0	1.1640E+00
443.0	1.1823E+00
444.0	1.1537E+00
445.0	1.1992E+00
446.0	1.0766E+00
447.0	1.2257E+00
448.0	1.2422E+00
449.0	1.2409E+00
450.0	1.2881E+00
451.0	1.3376E+00
452.0	1.2822E+00
453.0	1.1854E+00
454.0	1.2730E+00
455.0	1.2655E+00
456.0	1.3088E+00
457.0	1.3213E+00
458.0	1.2946E+00
459.0	1.2859E+00
460.0	1.2791E+00
461.0	1.3255E+00
462.0	1.3392E+00
463.0	1.3452E+00
464.0	1.3055E+00
465.0	1.2905E+00
466.0	1.3190E+00
467.0	1.2616E+00
468.0	1.3178E+00
469.0	1.3247E+00
470.0	1.2749E+00
471.0	1.2975E+00
472.0	1.3661E+00
473.0	1.3144E+00
474.0	1.3304E+00
475.0	1.3755E+00
476.0	1.3299E+00
477.0	1.3392E+00
478.0	1.3839E+00
479.0	1.3586E+00
480.0	1.3825E+00
481.0	1.3836E+00
482.0	1.3899E+00
483.0	1.3742E+00
484.0	1.3492E+00
485.0	1.3457E+00
486.0	1.0918E+00
487.0	1.2235E+00
488.0	1.3252E+00
489.0	1.2492E+00
490.0	1.3968E+00
491.0	1.3435E+00
492.0	1.2818E+00
493.0	1.3719E+00
494.0	1.3402E+00
495.0	1.4238E+00
496.0	1.3548E+00
497.0	1.3788E+00
498.0	1.3421E+00
499.0	1.3429E+00
500.0	1.3391E+00
501.0	1.2990E+00
502.0	1.2991E+00
503.0	1.3597E+00
504.0	1.2682E+00
505.0	1.3598E+00
506.0	1.4153E+00
507.0	1.3548E+00
508.0	1.3210E+00
509.0	1.3850E+00
510.0	1.3497E+00
511.0	1.3753E+00
512.0	1.4125E+00
513.0	1.3277E+00
514.0	1.3003E+00
515.0	1.3385E+00
516.0	1.3514E+00
517.0	1.1017E+00
518.0	1.2605E+00
519.0	1.2222E+00
520.0	1.3349E+00
521.0	1.3452E+00
522.0	1.3760E+00
523.0	1.2976E+00
524.0	1.3962E+00
525.0	1.3859E+00
526.0	1.3479E+00
527.0	1.1795E+00
528.0	1.3508E+00
529.0	1.4142E+00
530.0	1.3598E+00
531.0	1.4348E+00
532.0	1.4094E+00
533.0	1.2590E+00
534.0	1.3491E+00
535.0	1.3701E+00
536.0	1.4292E+00
537.0	1.3229E+00
538.0	1.3896E+00
539.0	1.3558E+00
540.0	1.3096E+00
541.0	1.2595E+00
542.0	1.3714E+00
543.0	1.3493E+00
544.0	1.3971E+00
545.0	1.3657E+00
546.0	1.3536E+00
547.0	1.3717E+00
548.0	1.3331E+00
549.0	1.3752E+00
550.0	1.3648E+00
551.0	1.3639E+00
552.0	1.3923E+00
553.0	1.3533E+00
554.0	1.3802E+00
555.0	1.3883E+00
556.0	1.3651E+00
557.0	1.3321E+00
558.0	1.3613E+00
559.0	1.2885E+00
560.0	1.3118E+00
561.0	1.3885E+00
562.0	1.3225E+00
563.0	1.3731E+00
564.0	1.3466E+00
565.0	1.3555E+00
566.0	1.2823E+00
567.0	1.3673E+00
568.0	1.3554E+00
569.0	1.3228E+00
570.0	1.3240E+00
571.0	1.2810E+00
572.0	1.3534E+00
573.0	1.3595E+00
574.0	1.3527E+00
575.0	1.3225E+00
576.0	1.3118E+00
577.0	1.3452E+00
578.0	1.3040E+00
579.0	1.3230E+00
580.0	1.3455E+00
581.0	1.3518E+00
582.0	1.3729E+00
583.0	1.3872E+00
584.0	1.3845E+00
585.0	1.3737E+00
586.0	1.3409E+00
587.0	1.3708E+00
588.0	1.3403E+00
589.0	1.1582E+00
590.0	1.2316E+00
591.0	1.3171E+00
592.0	1.2900E+00
593.0	1.3086E+00
594.0	1.3029E+00
595.0	1.2870E+00
596.0	1.3260E+00
597.0	1.3303E+00
598.0	1.3142E+00
599.0	1.3145E+00
600.0	1.3278E+00
601.0	1.3123E+00
602.0	1.2928E+00
603.0	1.3205E+00
604.0	1.3439E+00
605.0	1.3418E+00
606.0	1.3353E+00
607.0	1.3434E+00
608.0	1.3392E+00
609.0	1.3292E+00
610.0	1.3237E+00
611.0	1.3170E+00
612.0	1.3370E+00
613.0	1.3182E+00
614.0	1.2783E+00
615.0	1.3254E+00
616.0	1.2906E+00
617.0	1.2744E+00
618.0	1.3228E+00
619.0	1.3292E+00
620.0	1.3299E+00
621.0	1.3359E+00
622.0	1.2882E+00
623.0	1.2793E+00
624.0	1.2751E+00
625.0	1.2667E+00
626.0	1.2655E+00
627.0	1.3022E+00
628.0	1.2328E+00
629.0	1.2758E+00
630.0	1.2589E+00
631.0	1.2799E+00
632.0	1.2327E+00
633.0	1.3110E+00
634.0	1.2907E+00
635.0	1.3065E+00
636.0	1.2768E+00
637.0	1.3204E+00
638.0	1.3292E+00
639.0	1.3238E+00
640.0	1.2962E+00
641.0	1.2970E+00
642.0	1.2995E+00
643.0	1.3130E+00
644.0	1.3074E+00
645.0	1.3170E+00
646.0	1.2797E+00
647.0	1.2744E+00
648.0	1.2625E+00
649.0	1.2234E+00
650.0	1.2299E+00
651.0	1.3071E+00
652.0	1.2558E+00
653.0	1.2950E+00
654.0	1.2807E+00
655.0	1.2220E+00
656.0	1.0727E+00
657.0	1.1218E+00
658.0	1.2540E+00
659.0	1.2586E+00
660.0	1.2668E+00
661.0	1.2618E+00
662.0	1.2518E+00
663.0	1.2539E+00
664.0	1.2647E+00
665.0	1.2871E+00
666.0	1.2860E+00
667.0	1.2767E+00
668.0	1.2810E+00
669.0	1.3032E+00
670.0	1.2853E+00
671.0	1.2829E+00
672.0	1.2651E+00
673.0	1.2760E+00
674.0	1.2742E+00
675.0	1.2639E+00
676.0	1.2786E+00
677.0	1.2669E+00
678.0	1.2737E+00
679.0	1.2629E+00
680.0	1.2650E+00
681.0	1.2601E+00
682.0	1.2662E+00
683.0	1.2526E+00
684.0	1.2445E+00
685.0	1.2454E+00
686.0	1.2174E+00
687.0	8.8285E-01
688.0	1.0195E+00
689.0	1.0260E+00
690.0	1.0746E+00
691.0	1.1201E+00
692.0	1.1516E+00
693.0	1.1446E+00
694.0	1.1318E+00
695.0	1.1538E+00
696.0	1.1513E+00
697.0	1.2151E+00
698.0	1.1961E+00
699.0	1.1721E+00
700.0	1.1636E+00
701.0	1.1489E+00
702.0	1.1500E+00
703.0	1.1567E+00
704.0	1.1864E+00
705.0	1.1989E+00
706.0	1.1925E+00
707.0	1.1875E+00
708.0	1.1839E+00
709.0	1.1880E+00
710.0	1.1954E+00
711.0	1.1934E+00
712.0	1.1856E+00
713.0	1.1719E+00
714.0	1.1823E+00
715.0	1.1428E+00
716.0	1.1548E+00
717.0	1.0081E+00
718.0	9.3873E-01
719.0	8.4274E-01
720.0	8.9940E-01
721.0	9.8967E-01
722.0	1.1281E+00
723.0	1.0423E+00
724.0	9.6305E-01
725.0	9.4741E-01
726.0	9.8638E-01
727.0	9.8988E-01
728.0	9.4968E-01
729.0	9.5503E-01
730.0	1.0294E+00
731.0	9.7702E-01
732.0	1.0520E+00
733.0	1.0901E+00
734.0	1.1261E+00
735.0	1.1101E+00
736.0	1.0994E+00
737.0	1.0978E+00
738.0	1.1184E+00
739.0	1.0855E+00
740.0	1.1119E+00
741.0	1.1078E+00
742.0	1.1084E+00
743.0	1.1316E+00
744.0	1.1408E+00
745.0	1.1404E+00
746.0	1.1381E+00
747.0	1.1389E+00
748.0	1.1323E+00
749.0	1.1286E+00
750.0	1.1273E+00
751.0	1.1224E+00
752.0	1.1265E+00
753.0	1.1210E+00
754.0	1.1353E+00
755.0	1.1321E+00
756.0	1.1185E+00
757.0	1.1176E+00
758.0	1.1246E+00
759.0	1.0932E+00
760.0	2.4716E-01
761.0	1.4328E-01
762.0	6.3491E-01
763.0	3.5217E-01
764.0	4.9885E-01
765.0	6.3377E-01
766.0	7.5080E-01
767.0	8.9574E-01
768.0	1.0222E+00
769.0	1.0347E+00
770.0	1.0646E+00
771.0	1.0716E+00
772.0	1.0802E+00
773.0	1.0797E+00
774.0	1.0800E+00
775.0	1.0801E+00
776.0	1.0827E+00
777.0	1.0764E+00
778.0	1.0754E+00
779.0	1.0803E+00
780.0	1.0687E+00
781.0	1.0662E+00
782.0	1.0714E+00
783.0	1.0672E+00
784.0	1.0602E+00
785.0	1.0649E+00
786.0	1.0656E+00
787.0	1.0530E+00
788.0	1.0399E+00
789.0	1.0359E+00
790.0	1.0045E+00
791.0	1.0179E+00
792.0	1.0084E+00
793.0	1.0015E+00
794.0	1.0101E+00
795.0	1.0066E+00
796.0	9.8985E-01
797.0	1.0057E+00
798.0	1.0245E+00
799.0	1.0048E+00
800.0	9.8859E-01
801.0	9.9978E-01
802.0	1.0011E+00
803.0	9.8288E-01
804.0	9.9452E-01
805.0	9.7270E-01
806.0	1.0122E+00
807.0	1.0018E+00
808.0	9.9844E-01
809.0	9.7353E-01
810.0	9.7488E-01
811.0	9.7273E-01
812.0	9.4882E-01
813.0	9.3236E-01
814.0	8.3681E-01
815.0	8.2927E-01
816.0	7.7171E-01
817.0	7.8984E-01
818.0	7.6299E-01
819.0	8.3844E-01
820.0	7.9899E-01
821.0	9.2292E-01
822.0	8.8081E-01
823.0	6.2576E-01
824.0	8.6619E-01
825.0	8.9752E-01
826.0	8.6530E-01
827.0	9.1178E-01
828.0	7.8870E-01
829.0	8.6135E-01
830.0	8.4930E-01
831.0	8.5666E-01
832.0	8.2961E-01
833.0	8.8622E-01
834.0	8.6608E-01
835.0	9.2917E-01
836.0	9.0135E-01
837.0	9.3493E-01
838.0	9.2585E-01
839.0	9.2783E-01
840.0	9.4124E-01
841.0	9.3626E-01
842.0	9.2411E-01
843.0	9.3171E-01
844.0	9.1434E-01
845.0	9.4226E-01
846.0	9.4447E-01
847.0	9.1947E-01
848.0	9.2010E-01
849.0	9.1447E-01
850.0	8.2900E-01
851.0	9.0454E-01
852.0	8.9942E-01
853.0	8.9540E-01
854.0	7.9000E-01
855.0	8.4746E-01
856.0	9.0343E-01
857.0	9.2059E-01
858.0	9.2094E-01
859.0	9.2081E-01
860.0	9.1764E-01
861.0	9.1648E-01
862.0	9.2367E-01
863.0	9.2934E-01
864.0	9.0956E-01
865.0	8.9487E-01
866.0	7.8882E-01
867.0	8.5066E-01
868.0	8.9140E-01
869.0	8.8252E-01
870.0	8.9933E-01
871.0	8.8671E-01
872.0	8.9887E-01
873.0	8.8999E-01
874.0	8.7451E-01
875.0	8.6204E-01
876.0	8.8625E-01
877.0	8.8948E-01
878.0	8.8607E-01
879.0	8.7144E-01
880.0	8.7434E-01
881.0	8.4563E-01
882.0	8.6787E-01
883.0	8.6494E-01
884.0	8.6859E-01
885.0	8.7913E-01
886.0	8.4515E-01
887.0	8.4799E-01
888.0	8.5899E-01
889.0	8.7041E-01
890.0	8.6078E-01
891.0	8.6255E-01
892.0	8.4688E-01
893.0	8.1412E-01
894.0	7.9413E-01
895.0	7.5956E-01
896.0	7.1265E-01
897.0	6.2310E-01
898.0	6.7137E-01
899.0	5.1461E-01
900.0	6.9429E-01
901.0	5.6162E-01
902.0	6.2500E-01
903.0	6.4483E-01
904.0	7.8862E-01
905.0	7.6337E-01
906.0	7.2502E-01
907.0	5.9833E-01
908.0	6.1091E-01
909.0	6.5912E-01
910.0	5.8553E-01
911.0	6.2580E-01
912.0	6.4508E-01
913.0	5.8906E-01
914.0	5.8740E-01
915.0	6.3550E-01
